text,label,notes
"Wifi haki diffs Mihawk and Croc.",Reaction,Powerscaling joke reaction
"The slander piece is real.",Reaction,Meme reaction
"Brook with the clean fade, got damn.",Reaction,Surprised reaction
"Gear 5 is peak, dreams never end.",Reaction,Hype reaction
"Toon force is greater than another rainbow hair transformation.",Reaction,Hype reaction
"Goofy power up looks very cool.",Reaction,Positive reaction
"It was only a matter of time.",Reaction,Expectation reaction
"Damn, I completely forgot how much I liked Moria.",Reaction,Positive reaction
"Wow, I never thought about Moria that way before.",Reaction,Surprised reaction
"Seeing Doflamingo this high on the list makes me happy.",Reaction,Positive emotional response
"Honestly, that's a crazy take.",Reaction,Surprised reaction
"I can't believe someone ranked Vegapunk that low.",Reaction,Shock reaction
"That Vegapunk criticism is brutal.",Reaction,Immediate response
"Lol, Vegapunk really does look worse the more you think about it.",Reaction,Humorous reaction
"This thread is making me appreciate Kuma even more.",Reaction,Positive reaction
"Reading that analysis gave me chills.",Reaction,Emotional response
"Man, I miss pre-timeskip Usopp.",Reaction,Nostalgic reaction
"That's actually hilarious.",Reaction,Humorous reaction
"I never noticed that until now.",Reaction,Surprised reaction
"Wow, that's a really depressing way to look at Moria.",Reaction,Emotional reaction
"That argument completely changed how I see the character.",Reaction,Reaction to analysis
"Not gonna lie, that made me sad.",Reaction,Emotional response
"I can't stop laughing at that comparison.",Reaction,Laughter reaction
"That might be the wildest One Piece take I've ever seen.",Reaction,Shock reaction
"This makes me want to reread the arc.",Reaction,Positive reaction
"Ouch, Vegapunk got absolutely cooked here.",Reaction,Humorous reaction
"That explanation actually makes a lot of sense.",Reaction,Immediate response
"Bro, that's heartbreaking.",Reaction,Emotional reaction
"I wasn't expecting that conclusion at all.",Reaction,Surprised reaction
"That's such a cool interpretation.",Reaction,Positive reaction
"This discussion is way better than I expected.",Reaction,Positive feedback
"Damn, now I'm emotional thinking about Kuma again.",Reaction,Emotional response
"I had tears in my eyes from the moment he was conceived until the end of the chapter.",Reaction,Emotional reaction
